"","fr_document_id","action","action_description_fr","action_url","agency_acronym","docket_id","joint","page_length","publication_date","reg_dot_gov_document_id","rin","stage","stage_n","start_page","title","volume"
"176","2016-20832-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-09-15/s70915.shtml","SEC","S7-09-15","No","159","2016-09-01","SEC-2016-1557-0001",NA,"FINAL","","60417","Form ADV and Investment Advisers Act Rules","81"
"177","2011-2175-CFTC","Issuance","Joint proposed rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=974","CFTC","974","Yes","89","2011-02-11","CFTC-2011-0019-0001","3038-AD03","NPR","","8067","Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF","76"
"178","2011-2175-SEC","Issuance","Joint proposed rule.","https://www.sec.gov/comments/s7-05-11/s70511.shtml","SEC","S7-05-11","Yes","89","2011-02-11","SEC-2011-0198-0001",NA,"NPR","","8067","Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF","76"
"179","2011-28549-CFTC","Issuance","Joint final rules.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=974","CFTC","974","Yes","113","2011-11-16","CFTC-2011-0138-0001","3038-AD03","FINAL","","71127","Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF","76"
"180","2011-28549-SEC","Issuance","Joint final rules.","https://www.sec.gov/comments/s7-05-11/s70511.shtml","SEC","S7-05-11","Yes","113","2011-11-16","SEC-2011-1759-0001",NA,"FINAL","","71127","Reporting by Investment Advisers to Private Funds and Certain Commodity Pool Operators and Commodity Trading Advisors on Form PF","76"
"181","2013-13687-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-03-13/s70313.shtml","SEC","S7-03-13","No","198","2013-06-19","SEC-2013-1100-0001",NA,"NPR","","36833","Money Market Fund Reform; Amendments to Form PF","78"
"182","2014-17746-SEC","Reissuance","Re-proposed rule; proposed rule.","https://www.sec.gov/comments/s7-07-11/s70711.shtml","SEC","S7-07-11","No","30","2014-08-14","SEC-2014-1369-0001",NA,"NPR","","47985","Removal of Certain References to Credit Ratings and Amendment to the Issuer Diversification Requirement in the Money Market Fund Rule","79"
"183","2011-2437-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=973","CFTC","973","No","92","2011-02-11","CFTC-2011-0020-0001","3038-AD30","NPR","","7975","Commodity Pool Operators and Commodity Trading Advisors: Amendments to Compliance Obligations","76"
"184","2012-3390-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=973","CFTC","973","No","94","2012-02-24","CFTC-2012-0022-0001","3038-AD30","FINAL","","11251","Commodity Pool Operators and Commodity Trading Advisors: Compliance Obligations","77"
"185","2010-29956-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-36-10/s73610.shtml","SEC","S7-36-10","No","140","2010-12-10","SEC-2010-1878-0001",NA,"NPR","","77051","Rules Implementing Amendments to the Investment Advisers Act of 1940","75"
"186","2011-16318-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-36-10/s73610.shtml","SEC","S7-36-10","No","157","2011-07-19","SEC-2011-1033-0001",NA,"FINAL","","42949","Rules Implementing Amendments to the Investment Advisers Act of 1940","76"
"187","2010-26086-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-25-10/s72510.shtml","SEC","S7-25-10","No","11","2010-10-18","SEC-2010-1577-0001",NA,"NPR","","63753","Family Offices","75"
"188","2011-16117-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-25-10/s72510.shtml","SEC","S7-25-10","No","14","2011-06-29","SEC-2011-0910-0001",NA,"FINAL","","37983","Family Offices","76"
"189","2011-1922-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-04-11/s70411.shtml","SEC","S7-04-11","No","11","2011-01-31","SEC-2011-0127-0001",NA,"NPR","","5307","Net Worth Standard for Accredited Investors","76"
"190","2011-33333-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-04-11/s70411.shtml","SEC","S7-04-11","No","14","2011-12-29","SEC-2011-2045-0001",NA,"FINAL","","81793","Net Worth Standard for Accredited Investors","76"
"191","2011-11801-SEC","Issuance","Proposed rule; notice of intent to issue order.","https://www.sec.gov/comments/s7-17-11/s71711.shtml","SEC","S7-17-11","No","9","2011-05-13","SEC-2011-0690-0001",NA,"NPR","","27959","Investment Adviser Performance Compensation","76"
"192","2012-4046-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-17-11/s71711.shtml","SEC","S7-17-11","No","11","2012-02-22","SEC-2012-0303-0001",NA,"FINAL","","10358","Investment Adviser Performance Compensation","77"
"193","2012-15004-OCC","Issuance","Interim final rule and request for comments.","https://www.regulations.gov/docket?D=OCC-2012-0007","OCC","OCC-2012-0007","No","19","2012-06-21","OCC-2012-0007-0001","1557-AD59","INTERIM-FINAL","","37265","Lending Limits","77"
"194","2013-15174-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2012-0007","OCC","OCC-2012-0007","No","17","2013-06-25","OCC-2012-0007-0018","1557-AD59","FINAL","","37930","Lending Limits","78"
"195","2014-11473-OCC","Issuance","Notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OCC-2014-0007","OCC","OCC-2014-0007","No","129","2014-06-10","OCC-2014-0007-0001","1557-AD80","NPR","","33259","Integration of National Bank and Federal Savings Association Regulations: Licensing Rules","79"
"196","2011-22469-FRS","Issuance","Proposed rule with request for public comments.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1430&doc_ver=1","FRS","R-1430","No","5","2011-09-02","FRS-2011-0245-0001","7100-AD81","NPR","","54717","Supervised Securities Holding Companies Registration","76"
"197","2012-13311-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1430&doc_ver=1","FRS","R-1430","No","4","2012-06-04","FRS-2012-0162-0001","7100-AD81","FINAL","","32881","Supervised Securities Holding Company Registration","77"
"198","2010-29277-FRS","Issuance","Proposed rule; request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1397&doc_ver=1","FRS","R-1397","No","11","2010-11-26","FRS-2010-0347-0001","7100-AD58","NPR","","72741","Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity Fund or Hedge Fund Activities","75"
"199","2011-3199-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1397&doc_ver=1","FRS","R-1397","No","14","2011-02-14","FRS-2011-0036-0001","7100-AD58","FINAL","","8265","Conformance Period for Entities Engaged in Prohibited Proprietary Trading or Private Equity Fund or Hedge Fund Activities","76"
"200","2011-27184-FDIC","Issuance","Notice of proposed rulemaking.","https://www.fdic.gov/regulations/laws/federal/2011/11comad85.html","FDIC","3064-AD85","No","127","2011-11-07","FDIC-2011-0149-0001","3064-AD85","NPR","","68846","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","76"
"201","2011-27184-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1432&doc_ver=1","FRS","R-1432","No","127","2011-11-07","FRS-2011-0316-0001","7100-AD82","NPR","","68846","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","76"
"202","2011-27184-OCC","Issuance","Notice of proposed rulemaking.","https://www.regulations.gov/docket?D=OCC-2011-0014","OCC","OCC-2011-0014","No","127","2011-11-07","OCC-2011-0014-0026","1557–AD44","NPR","","68846","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","76"
"203","2011-27184-SEC","Issuance","Notice of proposed rulemaking.","https://www.sec.gov/comments/s7-41-11/s74111.shtml","SEC","S7-41-11","No","127","2011-11-07","SEC-2011-1703-0001",NA,"NPR","","68846","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","76"
"204","2013-31511-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2011/11comad85.html","FDIC","3064-AD85","No","272","2014-01-31","FDIC-2014-0015-0001","3064-AD85","FINAL","","5535","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"205","2013-31511-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1432&doc_ver=1","FRS","R-1432","No","272","2014-01-31","FRS-2014-0032-0001","7100-AD82","FINAL","","5535","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"206","2013-31511-OCC","Issuance","Final rule.","https://www.regulations.gov/docket?D=OCC-2011-0014","OCC","OCC-2011-0014","No","272","2014-01-31","OCC-2011-0014-3272","1557–AD44","FINAL","","5535","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"207","2013-31511-SEC","Issuance","Final rule.","https://www.sec.gov/comments/s7-41-11/s74111.shtml","SEC","S7-41-11","No","272","2014-01-31","SEC-2014-0190-0001",NA,"FINAL","","5535","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"208","2012-935-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1157","CFTC","1157","No","117","2012-02-14","CFTC-2012-0019-0001","3038-AD05","NPR","","8331","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships With, Hedge Funds and Covered Funds","77"
"209","2013-31476-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1157","CFTC","1157","No","269","2014-01-31","CFTC-2014-0013-0001","3038-AD05","FINAL","","5807","Prohibitions and Restrictions on Proprietary Trading and Certain Interests in, and Relationships with, Hedge Funds and Private Equity Funds","79"
"210","2014-02019-FRS","Issuance","Interim final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1480&doc_ver=1","FRS","R-1480","No","6","2014-01-31","FRS-2014-0034-0001","7100-AE11","INTERIM-FINAL","","5223","Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"211","2014-02019-FDIC","Issuance","Interim final rule.","https://www.fdic.gov/regulations/laws/federal/2014/2014-collateralized-debt-obligations-ae11.html","FDIC","3064-AE11","No","6","2014-01-31","FDIC-2014-0016-0001","3064-AE11","INTERIM-FINAL","","5223","Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"212","2014-02019-OCC","Issuance","Interim final rule.","https://www.regulations.gov/docket?D=OCC-2014-0003","OCC","OCC-2014-0003","No","6","2014-01-31","OCC-2014-0003-0001","1557-AD79","INTERIM-FINAL","","5223","Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"213","2014-02019-SEC","Issuance","Interim final rule.","https://www.regulations.gov/docket?D=OCC-2014-0003","SEC",NA,"No","6","2014-01-31","SEC-2014-0189-0001",NA,"INTERIM-FINAL","","5223","Treatment of Certain Collateralized Debt Obligations Backed Primarily by Trust Preferred Securities With Regard to Prohibitions and Restrictions on Certain Interests in, and Relationships With, Hedge Funds and Private Equity Funds","79"
"214","2011-24404-SEC","Issuance","Proposed rule.","https://www.sec.gov/comments/s7-38-11/s73811.shtml","SEC","S7-38-11","No","32","2011-09-28","SEC-2011-1447-0001",NA,"NPR","","60319","Prohibition Against Conflicts of Interest in Certain Securitizations","76"
"215","2014-10956-FRS","Issuance","Notice of proposed rulemaking.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1489&doc_ver=1","FRS","R-1489","No","14","2014-05-15","FRS-2014-0137-0001","7100-AE18","NPR","","27801","Concentration Limits on Large Financial Companies","79"
"216","2014-26747-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1489&doc_ver=1","FRS","R-1489","No","13","2014-11-14","FRS-2014-0336-0001","7100-AE18","FINAL","","68095","Concentration Limits on Large Financial Companies","79"
"217","2011-9002-FRS","Issuance","Notice of proposed rulemaking; request for public comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1413&doc_ver=1","FRS","R-1413","No","3","2011-04-14","FRS-2011-0093-0001","7100–AD72","NPR","","20892","Prohibition Against Payment of Interest on Demand Deposits","76"
"218","2011-17886-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1413&doc_ver=1","FRS","R-1413","No","6","2011-07-18","FRS-2011-0196-0001","7100–AD72","FINAL","","42015","Prohibition Against Payment of Interest on Demand Deposits","76"
"219","2011-9210-FDIC","Issuance","Notice of proposed rulemaking (NPR) and request for comment.","https://www.fdic.gov/regulations/laws/federal/2011/11comad78.html","FDIC","3064-AD78","No","2","2011-04-15","FDIC-2011-0049-0001","3064-AD78","NPR","","21265","Interest on Deposits; Deposit Insurance Coverage","76"
"220","2011-17686-FDIC","Issuance","Final rule.","https://www.fdic.gov/regulations/laws/federal/2011/11comad78.html","FDIC","3064-AD78","No","4","2011-07-14","FDIC-2011-0093-0001","3064-AD78","FINAL","","41392","Interest on Deposits; Deposit Insurance Coverage","76"
"221","2010-20567-CFTC","Issuance","Advance notice of proposed rulemaking; request for comments.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=759","CFTC","759","No","5","2010-08-20","CFTC-2010-0109-0001","3235–AK65","ANPR","","51429","Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act","75"
"222","2010-20567-SEC","Issuance","Advance notice of proposed rulemaking; request for comments.","https://www.sec.gov/comments/s7-12-10/s71210.shtml","SEC","S7-12-10","No","5","2010-08-20","SEC-2010-1285-0001",NA,"ANPR","","51429","Definitions Contained in Title VII of Dodd-Frank Wall Street Reform and Consumer Protection Act","75"
"223","2011-11008-CFTC","Issuance","Joint proposed rules; proposed interpretations.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1032","CFTC","1032","Yes","84","2011-05-23","CFTC-2011-0066-0001","3038-AD46","NPR","","29817","Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping","76"
"224","2010-31130-SEC","Issuance","Joint proposed rule; proposed interpretations.","https://www.sec.gov/comments/s7-39-10/s73910.shtml","SEC","S7-39-10","Yes","46","2010-12-21","SEC-2010-1973-0001",NA,"NPR","","80173","Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”","75"
"225","2012-10562-CFTC","Issuance","Joint final rule; joint interim final rule; interpretations.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=933","CFTC","933","Yes","170","2012-05-23","CFTC-2012-0058-0001","3038-AD06","INTERIM-FINAL","","30595","Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”","77"
"226","2012-10562-SEC","Issuance","Joint final rule; joint interim final rule; interpretations.","https://www.sec.gov/comments/s7-39-10/s73910.shtml","SEC","S7-39-10","Yes","170","2012-05-23","SEC-2012-0811-0001",NA,"INTERIM-FINAL","","30595","Further Definition of “Swap Dealer,” “Security-Based Swap Dealer,” “Major Swap Participant,” “Major Security-Based Swap Participant” and “Eligible Contract Participant”","77"
"227","2011-11008-SEC","Issuance","Joint proposed rules; proposed interpretations.","https://www.sec.gov/comments/s7-16-11/s71611.shtml","SEC","S7-16-11","Yes","84","2011-05-23","SEC-2011-0733-0001",NA,"NPR","","29817","Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping","76"
"228","2012-18003-SEC","Issuance-Complex","Joint final rule; interpretations; request for comment on an interpretation.","https://www.sec.gov/comments/s7-16-11/s71611.shtml","SEC","S7-16-11","Yes","160","2012-08-13","SEC-2012-1328-0001",NA,"FINAL","","48207","Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping","77"
"229","2012-18003-CFTC","Issuance-Complex","Joint final rule; interpretations; request for comment on an interpretation.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1256","CFTC","1256","Yes","160","2012-08-13","CFTC-2012-0102-0001","3038-AD46","FINAL","","48207","Further Definition of “Swap,” “Security-Based Swap,” and “Security-Based Swap Agreement”; Mixed Swaps; Security-Based Swap Agreement Recordkeeping","77"
"230","2010-29831-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=913","CFTC","913","No","8","2010-12-03","CFTC-2010-0175-0001","3038-AD28","NPR","","75432","Protection of Collateral of Counterparties to Uncleared Swaps; Treatment of Securities in a Portfolio Margining Account in a Commodity Broker Bankruptcy","75"
"231","2013-26479-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=913","CFTC","913","No","17","2013-11-06","CFTC-2013-0094-0001","3038-AD28","FINAL","","66621","Protection of Collateral of Counterparties to Uncleared Swaps; Treatment of Securities in a Portfolio Margining Account in a Commodity Broker Bankruptcy","78"
"232","2010-25322-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=768","CFTC","768","No","8","2010-10-14","CFTC-2010-0138-0001","3038–AC98","NPR","","63113","Financial Resources Requirements for Derivatives Clearing Organizations","75"
"233","2010-31029-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=925","CFTC","925","No","13","2010-12-13","CFTC-2010-0186-0001","3038-AC98","NPR","","77576","General Regulations and Derivatives Clearing Organizations","75"
"234","2010-31131-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=929","CFTC","929","No","13","2010-12-15","CFTC-2010-0187-0001","3038-AC98","NPR","","78185","Information Management Requirements for Derivatives Clearing Organizations","75"
"235","2011-690-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=994","CFTC","994","No","46","2011-01-20","CFTC-2011-0005-0001","3038-AC98","NPR","","3697","Risk Management Requirements for Derivatives Clearing Organizations","76"
"236","2011-4707-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=986","CFTC","986","No","11","2011-03-10","CFTC-2011-0029-0001","3038-AC98","NPR","","13101","Requirements for Processing, Clearing, and Transfer of Customer Positions","76"
"237","2011-27536-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=994","CFTC","994","No","148","2011-11-08","CFTC-2011-0136-0001","3038-AC98","FINAL","","69333","Derivatives Clearing Organization General Provisions and Core Principles","76"
"238","2013-13670-FRS","Issuance","Interim final rule with request for comment.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1458&doc_ver=1","FRS","R-1458","No","6","2013-06-10","FRS-2013-0161-0001","7100-AD96","INTERIM-FINAL","","34545","Prohibition Against Federal Assistance to Swaps Entities (Regulation KK)","78"
"239","2013-31204-FRS","Issuance","Final rule.","https://www.federalreserve.gov/apps/foia/ViewAllComments.aspx?doc_id=R-1458&doc_ver=1","FRS","R-1458","No","4","2014-01-03","FRS-2014-0001-0001","7100-AD96","FINAL","","340","Prohibition Against Federal Assistance to Swaps Entities (Regulation KK)","79"
"240","2011-4657-CFTC","Issuance","Proposed rules.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=983","CFTC","983","No","5","2011-03-03","CFTC-2011-0026-0001","3038-AD49","NPR","","11701","Amendments to Commodity Pool Operator and Commodity Trading Advisor Regulations Resulting From the Dodd-Frank Act","76"
"241","2012-21606-CFTC","Issuance","Final rules.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=983","CFTC","983","No","6","2012-09-05","CFTC-2012-0115-0001","3038-AD49","FINAL","","54355","Amendments to Commodity Pool Operator and Commodity Trading Advisor Regulations Resulting From the Dodd-Frank Act","77"
"242","2010-24198-CFTC","Issuance","Advanced notice of proposed rulemaking and request for comment.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=765","CFTC","765","No","5","2010-09-28","CFTC-2010-0132-0001",NA,"ANPR","","59666","Agricultural Swaps","75"
"243","2011-1685-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=968","CFTC","968","No","16","2011-02-03","CFTC-2011-0016-0001",NA,"NPR","","6095","Commodity Options and Agricultural Swaps","76"
"244","2011-20337-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=968","CFTC","968","No","10","2011-08-10","CFTC-2011-0109-0001","3038-AD21","FINAL","","49291","Agricultural Swaps","76"
"245","2016-06260-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1580","CFTC","1580","No","10","2016-03-21","CFTC-2016-0024-0001","3038-AE26","FINAL","","14966","Trade Options","81"
"246","2011-12270-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1037","CFTC","1037","No","49","2011-06-07","CFTC-2011-0070-0001","3038–AD53","NPR","","33065","Adaptation of Regulations to Incorporate Swaps","76"
"247","2012-25764-CFTC","Issuance","Final rules.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1037","CFTC","1037","No","64","2012-11-02","CFTC-2012-0136-0001","3038-AD53","FINAL","","66287","Adaptation of Regulations To Incorporate Swaps","77"
"248","2011-10927-TREAS","Issuance","Notice of proposed determination.","https://www.regulations.gov/docket?D=TREAS-DO-2011-0004","TREAS","TREAS-DO-2011-0004","No","9","2011-05-05","TREAS-DO-2011-0004-0001",NA,"NPR","","25774","Determination of Foreign Exchange Swaps and Foreign Exchange Forwards Under the Commodity Exchange Act","76"
"249","2012-3388-CFTC","Issuance","Proposed rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1161","CFTC","1161","No","8","2012-02-24","CFTC-2012-0023-0001",NA,"NPR","","11345","Harmonization of Compliance Obligations for Registered Investment Companies Required To Register as Commodity Pool Operators","77"
"250","2013-19894-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1161","CFTC","1161","No","28","2013-08-22","CFTC-2013-0077-0001","3038-AD75","FINAL","","52308","Harmonization of Compliance Obligations for Registered Investment Companies Required To Register as Commodity Pool Operators","78"
"251","2014-12469-CFTC","Issuance","Proposed rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1503","CFTC","1503","No","10","2014-06-02","CFTC-2014-0044-0001","3038-AE19","NPR","","31238","Exclusion of Utility Operations-Related Swaps With Utility Special Entities From De Minimis Threshold for Swaps With Special Entities","79"
"252","2014-22966-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1503","CFTC","1503","No","16","2014-09-26","CFTC-2014-0062-0001","3038-AE19","FINAL","","57767","Exclusion of Utility Operations-Related Swaps With Utility Special Entities From De Minimis Threshold for Swaps With Special Entities","79"
"253","2016-18400-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1725","CFTC","1725","No","8","2016-08-05","CFTC-2016-0064-0001","3038-AE47","NPR","","51828","Commodity Pool Operator Annual Report","81"
"254","2016-24905-CFTC","Issuance","Proposed rule; interpretations.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1752","CFTC","1752","No","30","2016-10-18","CFTC-2016-0090-0001","3038-AE54","NPR","","71946","Cross-Border Application of the Registration Thresholds and External Business Conduct Standards Applicable to Swap Dealers and Major Swap Participants","81"
"255","2010-31578-CFTC","Issuance","Proposed rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=937","CFTC","937","No","12","2010-12-23","CFTC-2010-0196-0001","3038-AD10","NPR","","80747","End-User Exception to Mandatory Clearing of Swaps","75"
"256","2012-17291-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=937","CFTC","937","No","33","2012-07-19","CFTC-2012-0089-0001","3038-AD10","FINAL","","42559","End-User Exception to the Clearing Requirement for Swaps","77"
"257","2011-9446-CFTC","Issuance","Proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1004","CFTC","1004","No","16","2011-04-25","CFTC-2011-0047-0001","3038–AD48","NPR","","22833","Swap Data Recordkeeping and Reporting Requirements: Pre-Enactment and Transition Swaps","76"
"258","2010-25325-CFTC","Issuance","Interim final rule; request for public comment.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=767","CFTC","767","No","6","2010-10-14","CFTC-2010-0137-0001","3038-AD24","INTERIM-FINAL","","63080","Interim Final Rule for Reporting Pre-Enactment Swap Transactions","75"
"259","2010-31579-CFTC","Issuance","Interim final rule; request for comment.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=927","CFTC","927","No","5","2010-12-17","CFTC-2010-0189-0001","3038-AD29","INTERIM-FINAL","","78892","Reporting Certain Post-Enactment Swap Transactions","75"
"260","2010-32358-CFTC","Issuance","Notice of Proposed Rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=955","CFTC","955","No","47","2011-01-07","CFTC-2011-0003-0001","3038-AD18","NPR","","1213","Core Principles and Other Requirements for Swap Execution Facilities","76"
"261","2013-12242-CFTC","Issuance","Final rule.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=955","CFTC","955","No","130","2013-06-04","CFTC-2013-0056-0001","3038-AD18","FINAL","","33475","Core Principles and Other Requirements for Swap Execution Facilities","78"
"262","2013-27200-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1436","CFTC","1436","No","164","2013-12-12","CFTC-2013-0107-0001","3038-AD99","NPR","","75679","Position Limits for Derivatives","78"
"263","2016-12964-CFTC","Reissuance","Supplemental notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1436","CFTC","1436","No","58","2016-06-13","CFTC-2016-0050-0001","3038-AD99","NPR","","38457","Position Limits for Derivatives: Certain Exemptions and Guidance","81"
"264","2016-29483-CFTC","Reissuance","Reproposal.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1772","CFTC","1772","No","287","2016-12-30","CFTC-2016-0109-0001","3038-AD99","NPR","","96704","Position Limits for Derivatives","81"
"265","2017-01232-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=1776","CFTC","1776","No","14","2017-01-23","CFTC-2017-0003-0001","3038-AE15","NPR","","7738","Technical Amendments to Rules on Registration and Review of Exchange Disciplinary, Access Denial or Other Adverse Actions","82"
"266","2010-31458-CFTC","Issuance","Notice of proposed rulemaking.","https://comments.cftc.gov/PublicComments/CommentList.aspx?id=934","CFTC","934","No","66","2010-12-22","CFTC-2010-0194-0001","3038-AD09","NPR","","80571","Core Principles and Other Requirements for Designated Contract Markets","75"
